垩	e	primary
垫	dian	primary
垭	ya	primary
垮	kua	primary
垯	da	primary
垱	dang	primary
垲	kai	primary
垴	nao	primary
垵	an	primary
垸	yuan	primary
垺	fu	primary
垾	han	primary
垿	xu	primary
埂	geng	primary
埃	ai	primary
埆	que	primary
埇	yong	primary
埋	mai	primary
埋	man	alt
埌	lang	primary
城	cheng	primary
埏	shan	primary
埒	lie	primary
埔	pu	primary
埔	bu	alt
埕	cheng	primary
埗	bu	primary
埘	shi	primary
埙	xun	primary
埚	guo	primary
埝	nian	primary
域	yu	primary
埠	bu	primary
埤	pi	primary
埪	kong	primary
埫	chong	primary
埫	tang	alt
埭	dai	primary
埯	an	primary
埴	zhi	primary
埵	duo	primary
埸	yi	primary
培	pei	primary
基	ji	primary
埼	qi	primary
埽	sao	primary
堂	tang	primary
堃	kun	primary
堆	dui	primary
堇	jin	primary
堉	yu	primary
堋	peng	primary
堌	gu	primary
堍	tu	primary
堎	leng	primary
堐	ya	primary
堑	qian	primary
堕	duo	primary
堙	yin	primary
堞	die	primary
堠	hou	primary
堡	bao	primary
堡	bu	alt
堡	pu	alt
堤	di	primary
堧	ruan	primary
堨	ye	primary
堨	e	alt
堪	kan	primary
堰	yan	primary
堲	ci	primary
堲	ji	alt
堵	du	primary
堼	heng	primary
堽	gang	primary
堾	chun	primary
塄	leng	primary
塅	duan	primary
塆	wan	primary
塌	ta	primary
塍	cheng	primary
塑	su	primary
塔	ta	primary
塘	tang	primary
塝	bang	primary
塞	sai	primary
塞	se	alt
塥	ge	primary
填	tian	primary
塬	yuan	primary
塱	lang	primary
塾	shu	primary
墀	chi	primary
墁	man	primary
境	jing	primary
墅	shu	primary
墈	kan	primary
墉	yong	primary
墐	jin	primary
墒	shang	primary
墓	mu	primary
墕	yan	primary
墘	qian	primary
墙	qiang	primary
墚	liang	primary
增	zeng	primary
墟	xu	primary
墡	shan	primary
墣	pu	primary
墦	fan	primary
墨	mo	primary
墩	dun	primary
墼	ji	primary
壁	bi	primary
壅	yong	primary
壑	he	primary
壕	hao	primary
壤	rang	primary
士	shi	primary
壬	ren	primary
壮	zhuang	primary
声	sheng	primary
壳	ke	primary
壳	qiao	alt
壶	hu	primary
壸	kun	primary
壹	yi	primary
处	chu	primary
备	bei	primary
复	fu	primary
夏	xia	primary
夐	xiong	primary
夔	kui	primary
夕	xi	primary
外	wai	primary
夙	su	primary
多	duo	primary
夜	ye	primary
够	gou	primary
夤	yin	primary
夥	huo	primary
大	da	primary
大	dai	alt
天	tian	primary
太	tai	primary
夫	fu	primary
夬	guai	primary
夭	yao	primary
央	yang	primary
夯	hang	primary
失	shi	primary
头	tou	primary
夷	yi	primary
夸	kua	primary
夹	jia	primary
夹	ga	alt
夺	duo	primary
夼	kuang	primary
奁	lian	primary
奂	huan	primary
奄	yan	primary
奇	qi	primary
奇	ji	alt
奈	nai	primary
奉	feng	primary
奋	fen	primary
奎	kui	primary
奏	zou	primary
契	qi	primary
奓	zha	primary
奔	ben	primary
奕	yi	primary
奖	jiang	primary
套	tao	primary
奘	zang	primary
奘	zhuang	alt
奚	xi	primary
奠	dian	primary
奡	ao	primary
奢	she	primary
奥	ao	primary
奭	shi	primary
女	nv	primary
奴	nu	primary
奶	nai	primary
奸	jian	primary
她	ta	primary
好	hao	primary
妁	shuo	primary
如	ru	primary
妃	fei	primary
妄	wang	primary
妆	zhuang	primary
妇	fu	primary
妈	ma	primary
妊	ren	primary
妍	yan	primary
妒	du	primary
妓	ji	primary
妖	yao	primary
妗	jin	primary
妘	yun	primary
妙	miao	primary
妞	niu	primary
妣	bi	primary
