# 官网形码审计表(2026-09-15):hanzi_shapes.tsv 切换前的差异比对数据,不被 include_str 消费
# source: flypy.cc ixdata.json 8414 字;列:字<TAB>官网形码集合(|分隔)<TAB>官网全码(音2形2)<TAB>现表形码(<TAB>标记
# 官网权威性由所有者确认;差异 345 处根因:官网按笔顺首末部件,现表按字义主部件(见 CROSSCHECK.md)
# 切换计划:后续代码 PR 修改 xhup-core shape.rs 消费本表后,hanzi_shapes.tsv 才更新
刑	kd	xkkd	kd	
划	gd	hxgd	gd	
刖	od	ytod	od	
列	dd	lpdd	dd	
刘	wd	lqwd	wd	
则	kd	zekd	kd	
刚	kd	ghkd	kd	
创	rd	ilrd	rd	
初	pd	iupd	pd	
删	cd	ujcd	cd	
判	bd	pjbd	bd	
刨	bd	bcbd pcbd	bd	
利	hd	lihd	hd	
别	kd	bpkd	kd	
刬	jd	ijjd	jd	
刭	vd	jkvd	vd	
刮	qd	gxqd	ud	DIFF
到	ad	dcad	vd	DIFF
刳	dd	kudd	dd	
制	pd	vipd	pd	
刷	ud	uxud	ud	
券	jd	qrjd xrjd	jd	
刹	xd	iaxd uaxd	xd	
刺	ad	ciad	ad	
刻	wd	kewd	wd	
刽	rd	gvrd	rd	
刿	ed	gved	ud	DIFF
剀	ed	kded	ed	
剁	jd	dojd	jd	
剂	wd	jiwd	wd	
剃	bd	tibd	bd	
剅	ad	lzad	dd	DIFF
削	xd	xnxd xtxd	xd	
剋	ud	kwud	ud	
剌	ud	laud	ud	
前	bd	qmbd	bd	
剐	kd	gxkd	kd	
剑	rd	jmrd	rd	
剔	od	tiod	od	
剕	fd	fwfd	fd	
剖	ld	pzld	ld	
剜	bd	wjbd	bd	
剞	dd	jidd	dd	
剟	yd	doyd	yd	
剡	hd	ujhd yjhd	hd	
剥	ed	bced boed	ed	
剧	ud	juud	ud	
剩	qd	ugqd	qd	
剪	bd	jmbd	bd	
副	ad	fuad	ad	
割	bd	gebd	bd	
剽	xd	pnxd	xd	
剿	vd	icvd jnvd	vd	
劁	rd	qnrd	rd	
劂	id	jtid	id	
劄	vd	vavd	vd	
劈	ud	piud	ud	
劐	cd	hocd	cd	
劓	zd	yizd	zd	
力	vp	livp	vp	
劝	yl	qryl	yl	
办	ld	bjld	ld	
功	gl	gsgl	gl	
加	lk	jxlk	lk	
务	wl	wuwl	wl	
劢	wl	mdwl	wl	
劣	ul	lpul	ul	
动	el	dsel	yl	DIFF
助	ql	vuql	ql	
努	nl	nunl	nl	
劫	tl	jptl	tl	
劬	bl	qubl	jl	DIFF
劭	dl	ucdl	dl	
励	il	liil	il	
劲	vl	jbvl jkvl	vl	
劳	cl	lccl	cl	
劵	jl	jrjl	-	
劼	ul	jpul	ul	
劾	wl	hewl	wl	
势	fl	uifl	fl	
勃	ul	boul	ul	
勇	sl	yssl	sl	
勉	dl	mmdl	dl	
勋	kl	xykl	kl	
勍	wl	qkwl	wl	
勐	zl	mgzl	zl	
勒	gl	legl lwgl	nl	DIFF
勔	ml	mmml	ml	
勖	kl	xukl	ol	DIFF
勘	ql	kjql	ql	
勚	ul	yiul	ul	
募	cl	mucl	cl	
勠	xl	luxl	xl	
勤	nl	qbnl	nl	
勰	lx	xplx	lx	
勹	pv	bcpv	-	
勺	bd	ucbd	bd	
勾	bs	gzbs	bs	
勿	bp	wubp	bp	
匀	bd	yybd	bd	
匂	bb	xsbb	-	
包	bs	bcbs	bs	
匆	bd	csbd	bd	
匈	bk	xsbk	bk	
匍	bf	pubf	bf	
匏	ds	pcds	ds	
匐	bt	fubt	bt	
匕	pv	bipv	pv	
化	rb	hxrb	rb	
北	lb	bwlb	lb	
匙	ob	iiob uiob	ob	
匜	ky	yiky	ky	
匝	kj	zakj	kj	
匠	kj	jlkj	kj	
匡	kw	klkw	kw	
匣	kj	xxkj	kj	
匦	kj	gvkj	kj	
匪	kf	fwkf	kf	
匮	kr	kvkr	kr	
匹	ke	pike	ke	
区	kx	qukx oukx	kx	
医	ku	yiku	ku	
匼	kk	kekk	kk	
匾	kc	bmkc	kc	
匿	kk	nikk	kk	
十	al	uial	al	
千	pu	qmpu	pu	
卅	al	saal	pa	DIFF
升	pc	ugpc	pc	
午	pg	wupg	rg	DIFF
卉	uc	hvuc	uc	
半	dl	bjdl	dl	
卌	al	xial	-	
卍	vl	wjvl	-	
华	ru	hxru	ru	
协	ub	xpub	ub	
卐	va	wjva	-	
卑	pu	bwpu	pu	
卒	wu	cuwu zuwu	wu	
卓	lu	volu	lu	
单	bl	ijbl ujbl djbl	bl	
卖	ud	mdud	ud	
南	ug	naug njug	ug	
博	uc	bouc	uc	
卜	ld	bold buld	ld	
卞	dx	bmdx	wd	DIFF
卟	kb	bukb	kb	
占	lk	vjlk	lk	
卡	ub	kaub qxub	ub	
卢	lu	lulu	lu	
卣	la	yzla	la	
卤	lx	lulx	lx	
卦	tb	gxtb	tb	
卧	ib	woib	ib	
卫	va	wwva	va	
卬	pe	ahpe	pe	
卮	pv	vipv	pv	
卯	pe	mcpe	pe	
印	pe	ybpe	pe	
危	dv	wwdv	dv	
即	ge	jige	ge	
却	te	qtte	te	
卵	pd	lrpd	pd	
卷	jv	jrjv	jv	
卸	we	xpwe	we	
卺	lv	jblv	lv	
卿	pe	qkpe	pe	
厂	ap	ihap	ap	
厄	iv	eeiv	iv	
厅	id	tkid	id	
历	il	liil	il	
厉	iw	liiw	iw	
压	id	yaid	id	
厌	iq	yjiq	iq	
厍	ii	ueii	ii	
厕	id	ceid	id	
厖	id	mhid	id	
厘	il	liil	il	
厚	iz	hziz	iz	
厝	io	coio	io	
原	ix	yrix	ix	
厢	io	xlio	io	
厣	ij	yjij	ij	
厥	ir	jtir	ir	
厦	iw	uaiw xxiw	iw	
厨	ic	iuic	ic	
厩	iv	jqiv	iv	
厮	ij	siij	ij	
厷	us	gsus	-	
厹	js	rzjs	-	
去	ts	quts	ts	
厽	ss	lwss	-	
厾	vs	duvs	vs	
县	qs	xmqs	qs	
叁	ss	sjss	ss	
参	sp	cfsp cjsp ufsp	sp	
叆	ey	aiey	yy	DIFF
叇	ez	ddez	yz	DIFF
又	vn	yzvn	vn	
叉	yd	iayd	yd	
及	pn	jipn	pn	
友	uy	yzuy	uy	
双	yy	ulyy	yy	
反	py	fjpy	py	
发	vd	favd	vd	
叒	yy	royy	-	
叔	uy	uuuy	uy	
叕	yy	voyy	yy	
取	ey	quey	ey	
受	py	uzpy	vy	DIFF
变	wy	bmwy	wy	
叙	ry	xury	ry	
叚	vy	xxvy	vy	
叛	by	pjby	by	
叟	py	szpy	py	
叠	yq	dpyq	yq	
口	la	kzla	la	
古	uk	guuk	uk	
句	bk	jubk gzbk	bk	
另	kl	lkkl	kl	
叨	kd	dckd tckd	kd	
叩	ke	kzke	ke	
只	kb	vikb	kb	
叫	kl	jnkl	kl	
召	dk	ucdk vcdk	dk	
叭	kb	bakb	kb	
