入	丿 ㄟ	丿 ㄟ	rù
全	人 王	人 王	quán
八	丿 ㄟ	丿 ㄟ	bā
公	八 厶	八 厶	gōng
六	亠 八	亠 八	liù
兮	八 乛	八 一 乛	xī
兰	丷 三	丷 三	lán
共	艹 八	艹 一 八	gòng gōng
兲	王 八	王 八	tiān
关	丷 天	丷 天	guān
兴	⺍ 八	⺍ 一 八	xīng xìng
兵	丘 八	丘 八	bīng
其	其上 八	其上 八	qí jī
具	具上 八	具上 八	jù
典	丨 八	丨 乛 一 丨 丨 一 八	diǎn
兹	丷 幺	丷 一 幺 幺	zī
养	⺶ 丨	⺶ ㄟ 丿 丨	yǎng
兼	丷 ㄟ	丷 一 乛 一 一 丨 丨 丿 ㄟ	jiān
兽	丷 口	丷 田 一 口	shòu
冀	丨 八	丨 一 一 匕 田 艹 一 八	jì
冁	丷 ㄟ	丷 丨 乛 一 一 一 丨 尸 艹 一 乛 丿 ㄟ	chǎn
内	丨 丶	丨 乛 丿 丶	nèi nà
円	冂 一	冂 丨 一	yuán
冇	𠂇 冂	𠂇 冂	mǎo
冈	冂 乂	冂 乂	gāng
冉	丨 一	丨 乛 丨 一 一	rǎn
册	丿 一	丿 乛 丿 乛 一	cè
再	一 冉	一 冉	zài
冏	冂 口	冂 八 口	jiǒng
冒	冂 目	冂 一 一 目	mào mò
冓	一 冉	一 一 丨 丨 一 冉	gòu
冔	冂 于	冂 一 一 口 于	xú
冕	冂 乛	冂 一 一 ⺈ 丨 乛 一 丿 乛	miǎn
冗	冖 几	冖 几	rǒng
写	冖 与	冖 与	xiě
冚	冖 山	冖 山	kǎn
军	冖 车	冖 车	jūn
农	丶 ㄟ	丶 乛 丿 乛 丿 ㄟ	nóng
冠	冖 寸	冖 二 儿 寸	guān guàn
冢	冖 ㄟ	冖 一 丿 乛 丿 丿 丶 丿 ㄟ	zhǒng
冤	冖 丶	冖 ⺈ 丨 乛 一 丿 乛 丶	yuān
冥	冖 八	冖 日 亠 八	míng
冧	冖 木	冖 木 木	lín
冬	夂 丶	夂 丶 丶	dōng
冮	冫 工	冫 工	gāng
冯	冫 马	冫 马	féng píng
冰	冫 水	冫 水	bīng
冱	冫 互	冫 互	hù
冲	冫 中	冫 中	chōng chòng
决	冫 夬guài	冫 夬	jué
冴	冫 牙	冫 牙	yà
况	冫 儿	冫 口 儿	kuàng
冶	冫 口	冫 厶 口	yě
冷	冫 龴	冫 人 丶 龴	lěng
冻	冫 东	冫 东	dòng
冼	冫 儿	冫 ⺧ 儿	xiǎn
冽	冫 刂	冫 歹 刂	liè
净	冫 丨	冫 ⺈ 乛 一 一 丨	jìng
凄	冫 女	冫 一 乛 一 一 丨 女	qī
准	冫 龶	冫 亻 亠 龶	zhǔn
凇	冫 厶	冫 木 八 厶	sōng
凉	冫 小	冫 亠 口 小	liáng liàng
凊	冫 月	冫 龶 月	qìng
凋	冫 口	冫 冂 土 口	diāo
凌	冫 夂	冫 土 八 夂	líng
减	冫 口	冫 戌 口	jiǎn
凑	冫 天	冫 寿上 ㄟ 天	còu
凓	冫 木	冫 西 木	lì
凘	冫 斤	冫 其上 八 斤	sī
凛	冫 小	冫 亠 囗 口 二 小	lǐn
凝	冫 人	冫 匕 矢 龴 乛 丨 一 人	níng
几	丿 乛	丿 乛	jī jǐ
凡	几 丶	几 丶	fán
凤	几 又	几 又	fèng
凨	几 厶	几 二 厶	fēng
凪	几 止	几 止	zhǐ
凫	丿 几	丿 乛 丶 乛 几	fú
凬	几 日	几 一 日	fēng
凭	亻 几	亻 壬 几	píng
凯	山 几	山 己 几	kǎi
凰	几 王	几 白 王	huáng
凳	乛 几	乛 丶 丿 丿 ㄟ 一 口 丷 一 几	dèng
凶	乂 凵	乂 凵	xiōng
凸	丨 一	丨 一 丨 乛 一	tū
凹	丨 一	丨 乛 丨 乛 一	āo wā
出	乛 凵	乛 丨 丨 凵	chū
击	一 凵	一 一 丨 凵	jī
凼	水 凵	水 凵	dàng
函	了 凵	了 冫 丿 丶 凵	hán
凿	业 凵	业 丷 一 十 凵	záo
刀	乛 丿	乛 丿	dāo
刁	乛 一	乛 一	diāo
刃	刀 丶	刀 丶	rèn
分	八 刀	八 刀	fēn fèn
切	七 刀	七 刀	qiē qiè
刈	乂 刂	乂 刂	yì
刊	干 刂	干 刂	kān
刍	⺈ 彐	⺈ 彐	chú
刎	勿 刂	勿 刂	wěn
刑	开 刂	开 刂	xíng
划	戈 刂	戈 刂	huá huà
刖	月 刂	月 刂	yuè
列	歹 刂	歹 刂	liè
刘	文 刂	文 刂	liú
则	冂 刂	冂 人 刂	zé
刚	冂 刂	冂 乂 刂	gāng
创	人 刂	人 乛 乛 刂	chuàng chuāng
初	衤 刀	衤 刀	chū
删	册 刂	册 刂	shān
判	半 刂	半 刂	pàn
刨	勹 刂	勹 巳 刂	páo bào
利	禾 刂	禾 刂	lì
